UtteranceID	SpeakerID	Transcription
T0399G0771_S01010061.wav	T0399G0771	学到一个新词 camouflage fatigues 迷彩军装
T0399G0771_S03040408.wav	T0399G0771	怎么下载 Passover Passover
T0399G0771_S01010135.wav	T0399G0771	以后说唱要 keep real
T0399G0771_S01010039.wav	T0399G0771	没头发没眉毛您也是最帅的 observer
T0399G0771_S01010199.wav	T0399G0771	silly 好喜欢自己
T0399G0771_S01010008.wav	T0399G0771	反正拍的照片又不如 discover
T0399G0771_S01010100.wav	T0399G0771	写了篇烂得要死的 essay
T0399G0771_S02010297.wav	T0399G0771	打开 Corey James 图片
T0399G0771_S01010168.wav	T0399G0771	像是闻了 rush 那种很快就去睡了
T0399G0771_S01010240.wav	T0399G0771	变成了 insult 结果一点都不好笑
T0399G0771_S02010284.wav	T0399G0771	找出 Joe Gibbs 的歌儿
T0399G0771_S01010080.wav	T0399G0771	在看 popcorn 突然开始脑洞
T0399G0771_S01010040.wav	T0399G0771	很早就想吐槽初音的 slow motion
T0399G0771_S02010319.wav	T0399G0771	Mark Knight 有没有拿过奖
T0399G0771_S01010255.wav	T0399G0771	这个天气非常 Canadian
T0399G0771_S01010045.wav	T0399G0771	现在我要放下手机改 draft
T0399G0771_S01010117.wav	T0399G0771	修了 motion graphic 后又分出了一个风格
T0399G0771_S01010196.wav	T0399G0771	当 liberal 的好处之一
T0399G0771_S01010163.wav	T0399G0771	韩戴莉莉说她 sure
T0399G0771_S01010204.wav	T0399G0771	今天的我是 shady 上最耀眼的骚鸡
T0399G0771_S01010128.wav	T0399G0771	偷偷在微博和我的 sex angel 表白
T0399G0771_S02030358.wav	T0399G0771	那你给我点首 Banana Boat 吧
T0399G0771_S01010209.wav	T0399G0771	dream catcher 是印第安人的传统工艺品
T0399G0771_S01010146.wav	T0399G0771	我和老妈最爱的 French Vanilla
T0399G0771_S01010063.wav	T0399G0771	然后宝宝就用了 thick clothes
T0399G0771_S01010141.wav	T0399G0771	感情面前都是 losers
T0399G0771_S01010180.wav	T0399G0771	陈嘉桦还带点 baby face 的正太
T0399G0771_S01010226.wav	T0399G0771	觉得我们今天好像 forklift driver
T0399G0771_S01010234.wav	T0399G0771	有勇气将第一次见面的 herb 塞进嘴里
T0399G0771_S01010280.wav	T0399G0771	我的 makes 怎么重置了
T0399G0771_S02030352.wav	T0399G0771	请放一首 Dollar Bill
T0399G0771_S01010233.wav	T0399G0771	大概是这样的 fell 吧
T0399G0771_S01010213.wav	T0399G0771	我的冬日宅居生活 recommend
T0399G0771_S01010201.wav	T0399G0771	再加一杯 black Russian
T0399G0771_S02010307.wav	T0399G0771	下载 Dirty Digital 的音乐
T0399G0771_S01010270.wav	T0399G0771	spectator 一般指看体育运动比赛的观众
T0399G0771_S01010076.wav	T0399G0771	澳洲的 nap 终于要开始打折了
T0399G0771_S01010247.wav	T0399G0771	学得最差的科目拿了 distinction
T0399G0771_S01010186.wav	T0399G0771	try translate 卡在了奇怪的地方
T0399G0771_S03010399.wav	T0399G0771	收看 CCTV 二财经直播
T0399G0771_S01010026.wav	T0399G0771	一个帅气学弟的祝福还有 fortune cookies
T0399G0771_S02010302.wav	T0399G0771	我要重听 Daniel Moss 的这首歌
T0399G0771_S02030383.wav	T0399G0771	放个 Pearl Tears 听听
T0399G0771_S02010311.wav	T0399G0771	给我来一首 Peter Gale 的歌听听
T0399G0771_S01010161.wav	T0399G0771	一个时代养成 critical thinking 的能力
T0399G0771_S01010262.wav	T0399G0771	开始流行打个 chair 自拍
T0399G0771_S01010006.wav	T0399G0771	隔壁部门的工作比较 numerical 比较适合我
T0399G0771_S01010050.wav	T0399G0771	有点 unlucky 的感觉
T0399G0771_S01010245.wav	T0399G0771	早晨九点堂被 cancel 了
T0399G0771_S02030395.wav	T0399G0771	帮我放另一首 Connections Connections
T0399G0771_S02010318.wav	T0399G0771	帮我查下 Charlie Chan
T0399G0771_S01010217.wav	T0399G0771	到底 perfection 和 enjoyment 哪个才是终点呢
T0399G0771_S01010162.wav	T0399G0771	notify 对于我这种没有手机号的人
T0399G0771_S01010269.wav	T0399G0771	我一条狗住在富人区旁边的 apartment
T0399G0771_S02030355.wav	T0399G0771	帮我放另一首 Background Background
T0399G0771_S02010299.wav	T0399G0771	顺序播放 Holy Moses 的歌
T0399G0771_S01010197.wav	T0399G0771	就很感动的二零一八和 anniversary day
T0399G0771_S01010088.wav	T0399G0771	我的 double gleam 嘻嘻开心
T0399G0771_S01010171.wav	T0399G0771	金思雨果然是令人开心呢 decompose
T0399G0771_S02030353.wav	T0399G0771	下载这一首 Istanbul Istanbul
T0399G0771_S01010179.wav	T0399G0771	杂志还是最喜欢 ice jewels
T0399G0771_S02010283.wav	T0399G0771	换一首 Swine Suicide 的
T0399G0771_S01010123.wav	T0399G0771	首页这一版 desire 的出处是哪里呀
T0399G0771_S01010225.wav	T0399G0771	好事加上 properly 都要完蛋
T0399G0771_S01010267.wav	T0399G0771	今天在饭堂点了 miracle 还有好多首歌
T0399G0771_S01010079.wav	T0399G0771	教授突然在黑板上写 seldom 和 capability
T0399G0771_S03010398.wav	T0399G0771	给我播一首 Don't Runaway
T0399G0771_S02020333.wav	T0399G0771	这张 Vision Tour 是盗版的吗
T0399G0771_S02010304.wav	T0399G0771	 Drunk Drunk 的哪首歌曲最有名
T0399G0771_S01010095.wav	T0399G0771	和他的十七个子女们的 story
T0399G0771_S01010020.wav	T0399G0771	为了过 finals 拍了一大堆照片和视频
T0399G0771_S01010248.wav	T0399G0771	如果没有这么多 essay
T0399G0771_S01010212.wav	T0399G0771	fork 的人倒不少有些意思
T0399G0771_S01010098.wav	T0399G0771	这盘 cookies 好吃到流泪
T0399G0771_S01010034.wav	T0399G0771	刷微博看到的图片 miss 中学时代
T0399G0771_S01010154.wav	T0399G0771	我发现 somebody 还真是有趣
T0399G0771_S01010124.wav	T0399G0771	在植物拟名工作中遇到了 velvety tree 的植物
T0399G0771_S01010130.wav	T0399G0771	但我本来是想写 industry 的
T0399G0771_S01010203.wav	T0399G0771	伴随的是 applause 的节奏
T0399G0771_S01010172.wav	T0399G0771	本 aunt 虽然已经三十岁了
T0399G0771_S01010074.wav	T0399G0771	耐心和好心和 benchmark 差的不是一点半点
T0399G0771_S02010305.wav	T0399G0771	换一首最新 Larry Larry 的歌
T0399G0771_S01010264.wav	T0399G0771	我们互相 challenge 对方
T0399G0771_S01010013.wav	T0399G0771	可以说自己是做 premodern 的一个 historian
T0399G0771_S01010017.wav	T0399G0771	詹姆斯刚刚被 hard foul
T0399G0771_S01010108.wav	T0399G0771	他说他 angry 了哈哈好傻
T0399G0771_S01010242.wav	T0399G0771	我还不能 afford 全部他们想要的
T0399G0771_S02010292.wav	T0399G0771	搜索一下 Jumping Shoes 唱过哪些首歌
T0399G0771_S01010224.wav	T0399G0771	hand carry 过来的爱媛橘子
T0399G0771_S03030406.wav	T0399G0771	来部 Julia Roberts 的电影看
T0399G0771_S01010105.wav	T0399G0771	牛排的 sauce 我给满分
T0399G0771_S01010102.wav	T0399G0771	每次我去 washroom 阿姨都在清洁中
T0399G0771_S01010120.wav	T0399G0771	被汽车教练 complain 骑的太 aggressive
T0399G0771_S01010035.wav	T0399G0771	希望那些讨厌的键盘 break up
T0399G0771_S01010109.wav	T0399G0771	脑子里的词只剩下了 fish
T0399G0771_S01010200.wav	T0399G0771	推荐信 draft 都没写完
T0399G0771_S01010160.wav	T0399G0771	写个人简历和 personal statement 时候
T0399G0771_S01010085.wav	T0399G0771	机场转了三圈也没找到 hungry
T0399G0771_S02030392.wav	T0399G0771	网上自动下载一首 Vanity Vanity
T0399G0771_S01010049.wav	T0399G0771	疯狂 shopping 以后晚安
T0399G0771_S01010223.wav	T0399G0771	吉隆坡这家 outlet 蛮大蛮多牌子的
T0399G0771_S01010216.wav	T0399G0771	晚上的聚餐定了 pub 最长的桌子
T0399G0771_S01010227.wav	T0399G0771	今天的 hiking 取消我开始生活日常
T0399G0771_S03030405.wav	T0399G0771	给我介绍一下 Jean Reno 这个艺人
T0399G0771_S01010188.wav	T0399G0771	要跟过去 say goodbye
