UtteranceID	SpeakerID	Transcription
T0426G1701_S01010017.wav	T0426G1701	然后采用 passive aggressive 的方式对抗
T0426G1701_S01010018.wav	T0426G1701	Services 可以让 controllers 之间共享数据
T0426G1701_S01010023.wav	T0426G1701	 torch 好不容易装上告诉我有个大问题
T0426G1701_S01010024.wav	T0426G1701	你们懂什么叫做 born singer 吗
T0426G1701_S01010032.wav	T0426G1701	寻龙诀片方该给陈坤公道就是棒 extract
T0426G1701_S01010034.wav	T0426G1701	贝拉塔尔反复强调拍电影要有 honesty
T0426G1701_S01010035.wav	T0426G1701	爸爸你看这里写 cancelled 了航班取消了
T0426G1701_S01010036.wav	T0426G1701	多感人啊 follower 列表新增了二位
T0426G1701_S01010038.wav	T0426G1701	游客中心旁边餐厅的 toast 蜜汁好吃
T0426G1701_S01010043.wav	T0426G1701	原始保证金 initial margin 是保证金
T0426G1701_S01010063.wav	T0426G1701	这个位置会放一个机柜做个 home rack
T0426G1701_S01010077.wav	T0426G1701	没有人相信我应该去看心理医生 shame
T0426G1701_S01010082.wav	T0426G1701	eat clean 的第一天应该是要失败了
T0426G1701_S01010083.wav	T0426G1701	带妈妈宝宝来 railroad park 公园里好热闹
T0426G1701_S01010086.wav	T0426G1701	原来李天韵参加了 the unit 啊
T0426G1701_S01010096.wav	T0426G1701	实力小妞王晓晨亲们都来了呀 suburban
T0426G1701_S01010101.wav	T0426G1701	我不喜 copenhagen 因为我讨厌我的 collapse
T0426G1701_S01010112.wav	T0426G1701	上次来的时候 drama C D 版的切了
T0426G1701_S01010120.wav	T0426G1701	有个 coder 很认真地给我讲了一遍
T0426G1701_S01010124.wav	T0426G1701	认为享受大城市 privilege 的人
T0426G1701_S01010126.wav	T0426G1701	收工收工我真的好喜欢 knight 这个词
T0426G1701_S01010128.wav	T0426G1701	美人御守能不能 bless 我再瘦几斤
T0426G1701_S01010129.wav	T0426G1701	但就很容易有种 awkward moment
T0426G1701_S01010134.wav	T0426G1701	好好念书为了能用上 lamer 加油
T0426G1701_S01010135.wav	T0426G1701	刚整理衣柜十六条深蓝 T shirt 难以置信
T0426G1701_S01010137.wav	T0426G1701	真的能让人觉得 painful 且 powerless
T0426G1701_S01010138.wav	T0426G1701	CAMPAGNOLO 新一代套件 record 刹车呆呆的阿登视频
T0426G1701_S01010142.wav	T0426G1701	超级喜欢前面的独白 My prayer
T0426G1701_S01010144.wav	T0426G1701	真实情感故事写错成 would were 形成反差
T0426G1701_S01010149.wav	T0426G1701	发现前面 prior seats 蓝色座位上都是壮汉
T0426G1701_S01010150.wav	T0426G1701	剑雅 ten test one 听力 section two 听完并复述完毕
T0426G1701_S01010177.wav	T0426G1701	这是我助手瑞小美微信 arrail consult one
T0426G1701_S01010184.wav	T0426G1701	导演想把 tops turvy day 引入大唐那个时代
T0426G1701_S01010188.wav	T0426G1701	sketch 真的好容易上手啊
T0426G1701_S01010193.wav	T0426G1701	露出奇酷比 elevation 的时候摇了摇手指
T0426G1701_S01010201.wav	T0426G1701	抵你一世做 receptionist
T0426G1701_S01010205.wav	T0426G1701	曼曼 manly 难道想在直播间里搞事情
T0426G1701_S01010206.wav	T0426G1701	唱的是 maps 我很喜欢的歌
T0426G1701_S01010221.wav	T0426G1701	我一定要做一个勤奋的的宝宝 diligent
T0426G1701_S01010225.wav	T0426G1701	还点了个焦糖 puff 明天还想来吃
T0426G1701_S01010226.wav	T0426G1701	看了一下 paid 里的有的没的乱七八糟 APP
T0426G1701_S01010228.wav	T0426G1701	目前鲁迅公园还是我的最爱 so lively
T0426G1701_S01010238.wav	T0426G1701	这种 package 年轻懒人很需要
T0426G1701_S01010242.wav	T0426G1701	所有 device 都会特别便宜
T0426G1701_S01010247.wav	T0426G1701	分享一个我的 twenty four H 不间断 worldwide 朋友圈
T0426G1701_S01010250.wav	T0426G1701	填完点击圈六中的 submit 即可完成
T0426G1701_S01010252.wav	T0426G1701	两难看来还是 balanced body 好
T0426G1701_S01010256.wav	T0426G1701	不是不是这是作为 reporter 啦
T0426G1701_S01010262.wav	T0426G1701	今天学了一个词 expectant mother
T0426G1701_S01010265.wav	T0426G1701	在公司最悠闲的时光是 toilet
T0426G1701_S01010273.wav	T0426G1701	感恩节我和妈妈一起做的 thanksgiving wreath
T0426G1708_S01010002.wav	T0426G1708	 Lo 的穿衣风格和 honeys 简直一毛一样
T0426G1708_S01010003.wav	T0426G1708	收到了学校 director 的手写感谢函
T0426G1708_S01010006.wav	T0426G1708	看了画展还顺带做了回reader
T0426G1708_S01010007.wav	T0426G1708	我真是太傻了一直记成 young trucks
T0426G1708_S01010008.wav	T0426G1708	我喜欢 purple rain 这种旋律的歌
T0426G1708_S01010010.wav	T0426G1708	 canvas 做出来的可爱时钟
T0426G1708_S01010018.wav	T0426G1708	卡莎能让你输一局你都不想 ban 的吗
T0426G1708_S01010021.wav	T0426G1708	以前总是会从他的声音想到savagegarden
T0426G1708_S01010022.wav	T0426G1708	每次为了 calibration 加班就真的是生无可恋
T0426G1708_S01010025.wav	T0426G1708	整个人生一直都在醉酒就好了 anytime anywhere
T0426G1708_S01010030.wav	T0426G1708	我明大家想有 authentic 嘅味道
T0426G1708_S01010032.wav	T0426G1708	我花了一晚上把 space oddity 练顺
T0426G1708_S01010033.wav	T0426G1708	 crude petroleum 因为颜色纯黑又有极高的价值
T0426G1708_S01010038.wav	T0426G1708	但是 rust 真的很好玩啊
T0426G1708_S01010042.wav	T0426G1708	周一正常上班下班完后拖拉着 toast master
T0426G1708_S01010048.wav	T0426G1708	花了十分钟组织语言酝酿勇气 damn it
T0426G1708_S01010057.wav	T0426G1708	在切塞尔的海滩上没想到是 bad ending
T0426G1708_S01010059.wav	T0426G1708	我也想 record 我们每次的通话
T0426G1708_S01010060.wav	T0426G1708	天气好热我想吃个 ice cream 冷静一下
T0426G1708_S01010061.wav	T0426G1708	今年的 tangle teezer 强行卖萌啊
T0426G1708_S01010062.wav	T0426G1708	又是 browns bay 半日游这礼拜去得很频繁啊
T0426G1708_S01010064.wav	T0426G1708	一起开心面对生活的各种的 accident
T0426G1708_S01010069.wav	T0426G1708	最近听着 heroine 走路感觉自己走路有风
T0426G1708_S01010072.wav	T0426G1708	为什么有人会不喜欢瑶瑶 summarize
T0426G1708_S01010078.wav	T0426G1708	massage 里面充满 reward 的感觉也太好了
T0426G1708_S01010079.wav	T0426G1708	 honeymoon 最后一站童话世界布朗格
T0426G1708_S01010080.wav	T0426G1708	留泪把给 faded 的三百票投了花房姑娘
T0426G1708_S01010082.wav	T0426G1708	cow's 冰淇淋口感还挺细腻
T0426G1708_S01010084.wav	T0426G1708	 cotton 特别喜欢我的瑜伽垫
T0426G1708_S01010085.wav	T0426G1708	清明三天小长假 totally 玩了至少两天
T0426G1708_S01010086.wav	T0426G1708	据当地人说还在 smoking 不能靠近
T0426G1708_S01010087.wav	T0426G1708	关键是以前从未想过自己这么 rang
T0426G1708_S01010089.wav	T0426G1708	好想要一个 mental 和 physical 都放松的假期
T0426G1708_S01010091.wav	T0426G1708	昨天给鞋酱 shoes 评论了个微博
T0426G1708_S01010092.wav	T0426G1708	福山结婚的时候 amuse 股票大跌
T0426G1708_S01010093.wav	T0426G1708	我又想起了危秋洁听scientists 就想起她
T0426G1708_S01010094.wav	T0426G1708	为梦想的 prime 很能感染人
T0426G1708_S01010096.wav	T0426G1708	墙头只有 looper 长得最好看
T0426G1708_S01010099.wav	T0426G1708	看到美 gun 越来越好我是很开心
