T0055G0002S0383 给我买张飞机票吧
T0055G0002S0062 幺三五零九七幺九七零幺
T0055G0002S0437 表演一下你的拿手好戏
T0055G0002S0014 你会不会说四川话
T0055G0002S0279 利比里亚还是很乱啊要不你去瞧瞧当个烈士也好嘛哈哈
T0055G0002S0035 名车阿斯顿玛丁
T0055G0002S0484 在九江地区中考考多少分能进二中
T0055G0002S0439 妈妈再爱我一次
T0055G0002S0041 再来一个很搞笑的笑话
T0055G0002S0358 明天七点钟叫醒我
T0055G0002S0009 退出当前播放模式
T0055G0002S0309 我想听犯错的歌
T0055G0002S0106 厚德载物是什么意思
T0055G0002S0394 明年北京车辆限行尾号是多少
T0055G0002S0476 难得有动力出门一趟 我拐到金满地买了套衣服
T0055G0002S0087 你是用的什么网络
T0055G0002S0022 下午四点提醒我发送排班表邮件
T0055G0002S0056 我说我的这个知识挺好的
T0055G0002S0436 广州白云机场在哪里
T0055G0002S0239 帮我查最近要播放的电影
T0055G0002S0102 玛雅预言是不是真的
T0055G0002S0387 放一首 天下无双 这首歌
T0055G0002S0346 我说很无聊啊 陪我聊天
T0055G0002S0347 你妹的老子要听歌
T0055G0002S0330 小说弑杀神魔曲
T0055G0002S0488 我要看河南卫视
T0055G0002S0271 燕子啊你跟松鼠那事怎么说
T0055G0002S0426 打电话给陈道明
T0055G0002S0256 三个牛字摞在一起是个什么字
T0055G0002S0080 我说 你是我的什么
T0055G0002S0371 我能看你不穿衣服吗
T0055G0002S0368 米和厘米是怎么换的
T0055G0002S0045 亲爱的我在哪里
T0055G0002S0036 二十三乘以三十二再乘以四十二等于多少
T0055G0002S0431 我要开车去北京怎么走
T0055G0002S0216 腰闪到了怎么办
T0055G0002S0135 警戒是什么意思
T0055G0002S0057 我今天中午想吃干饭面条好不好
T0055G0002S0419 帮我寻找一下吗
T0055G0002S0312 坐高铁小孩可以带吗
T0055G0002S0328 中国现在有多少个人口
T0055G0002S0430 最好的语音识别系统是什么
T0055G0002S0327 明天早上九点我上班
T0055G0002S0167 有没有女的唱的
T0055G0002S0182 郑州世纪欢乐园在哪里
T0055G0002S0291 八点三十的闹钟
T0055G0002S0314 先唱首歌来听听
T0055G0002S0189 一个大学文凭吗
T0055G0002S0124 幺五二六次火车哈尔滨至德州硬座
T0055G0002S0338 给朱玉华打电话
T0055G0002S0121 呵呵你的生活经历吧
T0055G0002S0240 明天下午出来了
T0055G0002S0334 厦门鼓浪屿怎么走
T0055G0002S0074 请回复亚历山大老鹰队的所有队员
T0055G0002S0199 怎样将已开张的网上店铺关闭
T0055G0002S0490 搜索更多唐禹哲的图片
T0055G0002S0015 给刘俊峰打电话
T0055G0002S0292 我买了新自行车
T0055G0002S0277 谁爱你啊你神经病
T0055G0002S0031 附近中国移动通信有限公司
T0055G0002S0018 老婆老婆老婆老婆老婆老婆老婆老婆老婆老婆老婆
T0055G0002S0230 徐天一管我叫爸爸
T0055G0002S0298 播放感动今生无法改变的你
T0055G0002S0052 换什么姿势跟你聊呀
T0055G0002S0375 三十六计的第一计
T0055G0002S0129 那你知道我是男生还是女生吗
T0055G0002S0008 播放歌曲最炫民族风
T0055G0002S0127 我说你好像有一点小脾气
T0055G0002S0024 你可以帮我介绍一个女朋友吗
T0055G0002S0287 唱一首我爱你
T0055G0002S0269 我刚在网上查了查
T0055G0002S0386 我明天要把飞机拿回家 请帮我添加到记事本里
T0055G0002S0275 安徽省内短途旅游两天可以推荐几条路线和参考价格吗
T0055G0002S0222 在百度里搜索公务员考试时间
T0055G0002S0179 给我介绍一款手机
T0055G0002S0479 给公司打个电话
T0055G0002S0020 你有女朋友没有啊
T0055G0002S0356 我要听我曾爱过的女孩儿
T0055G0002S0380 高军 和 陈素雅 的楷书写法是什么样子
T0055G0002S0243 我要打电话给杨慧
T0055G0002S0388 黄师傅牛肉拉面
T0055G0002S0361 青花瓷歌词
T0055G0002S0051 播放 有没有人曾告诉你
T0055G0002S0364 我附近有什么公交站
T0055G0002S0398 现在最流行的歌曲是什么
T0055G0002S0444 我叫你叫我主人
T0055G0002S0367 给我找一本电子书看
T0055G0002S0263 哪家装修公司比较好
T0055G0002S0017 QQ 通讯录下载安装好了吗
T0055G0002S0038 十三级紫装秋叶刀在哪爆出机率高
T0055G0002S0245 我是个什么样的人
T0055G0002S0095 你做我的朋友吧
T0055G0002S0255 我的电话号码多少
T0055G0002S0474 你叫什么名字啊机器人
T0055G0002S0029 我也不会啊等哪天我去你家你教我吧实名认证还没通过呢
T0055G0002S0482 天津南到合肥的高铁有几班 把时刻表发过来 谢谢
T0055G0002S0046 您好请问您是有房子出租吗能告诉我具体的牌号吗谢谢
T0055G0002S0400 百度搜索 终极一家
T0055G0002S0085 怎么又是这个 能不能换下一个
T0055G0002S0442 我想找个女人玩玩儿
T0055G0002S0340 高速公路什么时候是免费通行的
T0055G0002S0443 北京西到重庆的火车明天下午
T0055G0002S0337 汉川在什么地方
T0055G0002S0175 小学期末考试时间
T0055G0002S0232 我要听最流行的音乐
T0055G0002S0137 你想和我约会吗
T0055G0002S0459 超人马大姐讲了啥
T0055G0002S0209 舟山定海离凯尔登最近的肯得基
T0055G0002S0446 我是说我不想起床
T0055G0002S0438 哈哈就让猴子去比吧他们能比比女朋友
T0055G0002S0417 吴雨菲的生生世世的爱
T0055G0002S0153 请十三点三十分把我叫起床
T0055G0002S0048 你是不是假装不知道
T0055G0002S0308 贵州花溪怎么样
T0055G0002S0206 东莞的天气怎么样
T0055G0002S0335 日照到鹤壁的火车票有没有
T0055G0002S0362 我想回家用英语怎么说
T0055G0002S0058 叮咚起床了吗哈哈昨天晚上是不是又通宵呢
T0055G0002S0030 播放视频真的爱你
T0055G0002S0317 不会做你男朋友
T0055G0002S0215 今天上午六点钟
T0055G0002S0393 今年河北中考语文答案
T0055G0002S0402 年轻人应该做些什么
T0055G0002S0154 你帮我打电话给爸爸
T0055G0002S0113 今天没有时间明早估计可以不过要早点
T0055G0002S0078 刘屁用英语怎么说
T0055G0002S0173 关闭手机所有系统
T0055G0002S0320 哪里啊我说的都是真心话
T0055G0002S0090 有没有上过大学
T0055G0002S0200 泉州到台湾的机票
T0055G0002S0469 帮我看一下今天新闻
T0055G0002S0460 一个小时后提醒我打电话
T0055G0002S0197 端木和于馨在一起了吗陈烁和云朵在一起了吗
T0055G0002S0001 以后你是男孩子
T0055G0002S0391 没有钱了怎么办啊
T0055G0002S0353 我要听开水和白面包
T0055G0002S0110 你以为你想请就能请啊
