T0055G0005S0319 给马海航发短信说我爱你
T0055G0005S0317 明天上午九点开会
T0055G0005S0251 素有中国药都称号的城市是哪
T0055G0005S0329 感冒难受怎么办
T0055G0005S0058 有没有其他的声音
T0055G0005S0026 今天见到你一点都不高兴
T0055G0005S0485 一千万韩元换其他货币
T0055G0005S0261 我家养的狗叫什么名字
T0055G0005S0375 我不需要这些内容
T0055G0005S0100 我的具体位置是
T0055G0005S0480 我还不累 你累了
T0055G0005S0303 拨打肯德基外卖电话
T0055G0005S0178 毛泽东是你的谁
T0055G0005S0425 打开文件管理器里面的AV
T0055G0005S0276 播放张信哲的歌曲过火
T0055G0005S0476 附近哪里有外卖
T0055G0005S0094 成都市蔬菜批发市场
T0055G0005S0326 此业务查询范围仅限大连地区吗
T0055G0005S0477 我觉得奶奶一个人好孤单啊在家想回家看看
T0055G0005S0098 几种语言你会几种语言
T0055G0005S0270 六十二兆可以装多少东西
T0055G0005S0177 帮我拨一首歌曲
T0055G0005S0389 不良笑花 主题曲 潘玮柏唱的
T0055G0005S0184 杭州哪家医院最好
T0055G0005S0170 那么大一活人走掉你要看不到才奇怪
T0055G0005S0444 去上海站怎么走
T0055G0005S0491 翻译i love you
T0055G0005S0431 我想吃麻婆豆腐
T0055G0005S0268 明天早上九点钟叫醒我
T0055G0005S0165 我想听广岛之恋
T0055G0005S0101 新疆的小吃包括啥
T0055G0005S0404 你肯定装了探头我才刚刚到被窝
T0055G0005S0234 百度搜索文征明
T0055G0005S0458 太阳更红长虹更新
T0055G0005S0449 你知道我的家是哪里的吗
T0055G0005S0318 我问的问题怎么一样都回答不上来呀
T0055G0005S0409 谷歌和中国的关系
T0055G0005S0087 奥迪汽车怎么样
T0055G0005S0225 信不信我打爆你
T0055G0005S0451 有哪些笑话网站
T0055G0005S0043 没关系过来吧一个班的找我帮你讲题嘛
T0055G0005S0323 把你的照片拿出来看看
T0055G0005S0435 小子自信是什么意思
T0055G0005S0097 查车辆违章信息
T0055G0005S0210 以后要叫我主人
T0055G0005S0175 你一边凉快去吧
T0055G0005S0027 为什么南京最漂亮
T0055G0005S0029 我跟妈妈吵架了
T0055G0005S0407 你能给我一点钱花吗
T0055G0005S0275 中华人民共和国是哪年成立的
T0055G0005S0018 我没打啊怎么招人骚扰啦
T0055G0005S0473 那他叫什么名字吗
T0055G0005S0446 福安到厦门的动车票
T0055G0005S0023 关掉软件打开百度视频
T0055G0005S0137 晚饭吃的什么呀
T0055G0005S0054 请问西红柿炒鸡蛋怎么做
T0055G0005S0039 爸妈我在外边很好请你们放心工作很顺利
T0055G0005S0468 二十分钟后自动关机
T0055G0005S0129 你敢不这么二吗
T0055G0005S0020 那赶紧说去哪儿玩
T0055G0005S0014 今天港币汇率计算
T0055G0005S0265 我旁边有头猪怎么办
T0055G0005S0496 你能重复我说的话吗
T0055G0005S0092 太没文化没素质没文化
T0055G0005S0192 菜都冷了你就在路上买点东西吃吧
T0055G0005S0257 唱首歌两只老虎
T0055G0005S0369 附近最近的桑拿在哪里
T0055G0005S0272 我说 以后你叫我美女
T0055G0005S0316 为什么无法打开通讯录
T0055G0005S0118 帮我下载个导航
T0055G0005S0208 我听见你说话我就说不出来话了
T0055G0005S0075 请帮我查一下 上海南站的电话号码
T0055G0005S0126 有你陪我说话 我就不无聊了
T0055G0005S0342 讲一个我没有听过的故事
T0055G0005S0277 那你怎么还在睡觉睡得跟猪一样
T0055G0005S0355 如果你喜欢我
T0055G0005S0179 讲个笑话我今天
T0055G0005S0202 八百六十七加上二百零一等于多少
T0055G0005S0120 你放心吧这点小事我一定做好不就得了吗
T0055G0005S0046 你说话我怎么听不懂呀
T0055G0005S0051 一夜泰明角色歌
T0055G0005S0090 唱一首 我爱你中国
T0055G0005S0400 你可以边放歌边舞让我看吗
T0055G0005S0334 最近的娱乐场所
T0055G0005S0420 我会爱你一辈子
T0055G0005S0085 我想喝饮料没钱
T0055G0005S0258 亲爱的你到底在哪里
T0055G0005S0447 你说的上面句是什么意思
T0055G0005S0113 日本女排队长荒木
T0055G0005S0367 有卖这东西吗
T0055G0005S0211 五个小时以后叫醒我
T0055G0005S0374 查看今日头条新闻
T0055G0005S0032 遵义乌江民族风情
T0055G0005S0313 能给我讲一个儿童故事吗
T0055G0005S0162 你会给宝宝起名字吗
T0055G0005S0131 你的家是什么样子的
T0055G0005S0324 如果是假性闭经那怎样才能重新有月经
T0055G0005S0280 请问一下我这个手机型号是多少
T0055G0005S0472 你们全家都是傻逼是不是
T0055G0005S0243 中国第三大城市
T0055G0005S0288 自己开车从中行
T0055G0005S0155 我要听首歌明白吗
T0055G0005S0040 播放歌曲 我想和你去吹吹风
T0055G0005S0422 我喜欢你的下面
T0055G0005S0348 换一首难听死了
T0055G0005S0083 明天上午八点整叫我
T0055G0005S0185 我女朋友漂亮吗
T0055G0005S0068 从我这里怎么去深圳莲塘
T0055G0005S0102 跟你睡一晚要多少钱
T0055G0005S0452 我非常爱她放弃她会不会让她受重伤
T0055G0005S0442 点名了 你要不要过来和老师说
T0055G0005S0227 儿童吃什么钙片好
T0055G0005S0187 我们一起去玩儿嘛
T0055G0005S0325 所以说二零一三
T0055G0005S0487 怎么训练兔子不随地大小便
T0055G0005S0469 你一定长的很漂亮
T0055G0005S0439 福州明天最高气温是多少
T0055G0005S0362 最好就好好的呗
T0055G0005S0064 给我介绍几款游戏
T0055G0005S0239 北京到维也纳的机票多少钱
T0055G0005S0357 此信息请不要扩散
T0055G0005S0437 长治明天出太阳吗
T0055G0005S0240 江东门西街公交车站这附近哪有银行和网吧
T0055G0005S0134 喂不要放音乐了
T0055G0005S0358 你妈妈叫什么名字
T0055G0005S0219 你耳朵有毛病是吧
T0055G0005S0109 兰博基尼多少钱
T0055G0005S0065 五羊本田摩托车
T0055G0005S0410 清远泌尿科有效治疗前列腺
T0055G0005S0001 仙游沙溪中学七年级
T0055G0005S0074 给白彭成打电话
T0055G0005S0434 高雄今天天气如何
T0055G0005S0467 东莞到成都的火车
T0055G0005S0147 你是不是处女了
T0055G0005S0365 以后记得叫我帅哥
T0055G0005S0411 老子对你无语了
T0055G0005S0093 我爸爸的儿子是谁
T0055G0005S0488 那我就叫你老婆
T0055G0005S0191 我想听长篇小说
T0055G0005S0186 这个礼拜天我们休双休日我回家的
T0055G0005S0381 帮我找一下罗店帝豪KTV
T0055G0005S0209 这个多少钱翻译成德语
T0055G0005S0229 唱周杰伦的 搁浅
T0055G0005S0466 人民代表大会制度
T0055G0005S0248 查一下徐州旅游景点
T0055G0005S0156 要我去接你
T0055G0005S0180 来一首别在我离开之前离开
T0055G0005S0464 二零零九年蚌埠医学院在本省的二本投档线
T0055G0005S0309 听歌 听妈妈的话
T0055G0005S0354 唱一首歌叫做三只小熊
T0055G0005S0009 唐山哪儿有三星I 七八八手机
T0055G0005S0278 你在说什么呢
T0055G0005S0002 白色五菱宏光的图片
T0055G0005S0394 王宝强主演的泰囧
T0055G0005S0344 今天天气怎么样 明天天气怎么样
T0055G0005S0106 播放歌曲离家的孩子
T0055G0005S0154 北京遇上西雅图 公映日期
T0055G0005S0383 十六点叫我起床
T0055G0005S0297 演员潘长江的身高
T0055G0005S0004 美女哪里有美女
T0055G0005S0110 我的宝贝是多多
T0055G0005S0262 介绍几部新电影吗
T0055G0005S0474 给我打开 我相信
T0055G0005S0494 你太会说话 我特别喜欢你
T0055G0005S0427 该怎样你才有面子呀
T0055G0005S0140 怎么去南宁饭店
T0055G0005S0218 明天早上六点半叫我
T0055G0005S0116 我跟大姐说了年后请他吃饭安排好时间哈大忙妮
T0055G0005S0062 恩忙你的吧哼哼我总觉得你傻了
T0055G0005S0022 啊真厉害怎么考的呀准备面试了哦
T0055G0005S0470 你要不要睡觉了
T0055G0005S0033 我想你没有听明白
T0055G0005S0047 我不喜欢听英文
T0055G0005S0282 晚上回来吃晚饭吗
T0055G0005S0291 国务院副总理都是哪几位
T0055G0005S0336 再来一首真的好想你
T0055G0005S0424 今天国内的重大新闻
T0055G0005S0341 我睡不着怎么办啊
T0055G0005S0395 帮我下载浏览器
T0055G0005S0207 拨打幺三二七五九九六六八八
T0055G0005S0405 北京明天天气怎么样
T0055G0005S0500 播放 北京北京 歌曲
T0055G0005S0012 帮我设置明天早上九点的闹钟
T0055G0005S0441 你觉得iphone 五好用吗
T0055G0005S0222 这个工作真辛苦你了
